Symbol,Name,Last,Change,%Chg,"Options Vol","Imp Vol","IV Rank","IV Pctl","IV 1Yr High",Time
C,"Citigroup Inc",53.73,0.47,+0.88%,94839,22.12%,5.39%,6%,51.48%,2024-01-25
PBR,"Petroleo Brasileiro S.A. Petrobras ADR",16.67,0.78,+4.91%,137512,29.54%,5.29%,1%,66.32%,2024-01-25
WAL,"Western Alliance Bancorp",65.71,-0.68,-1.02%,9576,49.14%,5.26%,50%,330.29%,2024-01-25
ISRG,"Intuitive Surg Inc",374.97,4.9,+1.32%,10232,22.61%,5.06%,5%,47.55%,2024-01-25
ACN,"Accenture Plc",371.94,3.04,+0.82%,4025,16.82%,4.94%,4%,36.01%,2024-01-25
IMGN,"Immunogen Inc",29.5,0,0.00%,4885,20.83%,4.89%,14%,290.07%,2024-01-25
AI,"C3.Ai Inc Cl A",25.18,-0.26,-1.02%,41363,67.82%,4.28%,20%,230.47%,2024-01-25
IONQ,"Ionq Inc",11.28,0.21,+1.90%,9540,75.31%,3.30%,1%,157.49%,2024-01-25
JPM,"JP Morgan Chase & Company",172.94,2.44,+1.43%,67149,15.83%,3.21%,4%,41.08%,2024-01-25
BK,"Bank of New York Mellon Corp",55.34,0.43,+0.78%,10351,17.99%,2.93%,3%,55.20%,2024-01-25
GRCL,"Gracell Biotechnologies Inc ADR",10.06,-0.02,-0.20%,6572,25.78%,2.78%,48%,854.03%,2024-01-25
HAL,"Halliburton Company",37,0.17,+0.46%,18601,28.82%,2.75%,2%,56.26%,2024-01-25
YPF,"Ypf Sociedad Anonima ADR",17.37,0.93,+5.66%,6257,47.33%,2.59%,4%,87.76%,2024-01-25
ALLY,"Ally Financial",36.9,0.42,+1.15%,4346,31.09%,2.06%,6%,115.55%,2024-01-25
SLM,"SLM Corp",19.86,0.66,+3.44%,3233,26.03%,1.93%,0%,71.13%,2024-01-25
GCT,"Gigacloud Technology Inc Cl A",23.29,1.54,+7.08%,2890,98.96%,1.80%,46%,"1,279.71%",2024-01-25
BIRK,"Birkenstock Holding Plc",46.4,1.6,+3.57%,4303,47.08%,1.79%,1%,91.04%,2024-01-25
SCHW,"The Charles Schwab Corp",63.71,0.23,+0.36%,14532,26.46%,1.66%,8%,105.23%,2024-01-25
VLO,"Valero Energy Corp",134.46,4.31,+3.31%,21047,27.83%,0.97%,1%,48.62%,2024-01-25
MULN,"Mullen Automotive Inc",6.86,0.25,+3.78%,3540,0.00%,0.00%,0%,927.80%,2024-01-25
AMAM,"Ambrx Biopharma Inc ADR",27.77,0.12,+0.43%,3089,20.67%,0.00%,0%,324.04%,2024-01-25
GOL,"Gol Linhas Aereas Inteligentes S.A. ADR",2.71,0.08,+3.23%,2943,0.00%,0.00%,0%,433.25%,2024-01-25
"Downloaded from Barchart.com as of 01-25-2024 06:17pm CST"
